13
1	Lathe	-
2	Robot1	-
3	Miller	-
4	CMM	-
5	AGV	-
6	VisionSystem	-
7	Robot2	-
8	Robot3	-
9	ASRS	-
10	Conveyor	-
13	Codetag	-

