13
1	Lathe	-
2	Robot1	-
3	Miller	-
4	Operator
5	?
6	CMM	-
7	AGV	-
8	VisionSystem	-
9	Robot2	-
10	Robot3	-
11	ASRS	-
12	Conveyor	-
13	CodeTag	-
14	Robot4	-
